ETITLE:      TS           BOND          ANGLE          DIHED          IMPRP               ELECT            VDW       BOUNDARY           MISC        KINETIC               TOTAL           TEMP      POTENTIAL         TOTAL3        TEMPAVG            PRESSURE      GPRESSURE         VOLUME       PRESSAVG      GPRESSAVG
ENERGY:      79       164.7180       160.3883         0.0000         0.0000          -5899.0103       818.5076         0.0000         0.0000         0.0000          -4755.3964         0.0000     -4755.3964     -4755.3964         0.0000           6207.8350     -7114.8615     23823.1240      6207.8350     -7114.8615
ENERGY:      80       206.7161       162.8913         0.0000         0.0000          -5917.8502       809.9918         0.0000         0.0000         0.0000          -4738.2510         0.0000     -4738.2510     -4738.2510         0.0000           5991.3054     -7386.2996     23823.1240      5991.3054     -7386.2996
ENERGY:      81       162.0572       160.1943         0.0000         0.0000          -5897.1337       819.6060         0.0000         0.0000         0.0000          -4755.2761         0.0000     -4755.2761     -4755.2761         0.0000           6224.1727     -7084.3605     23823.1240      6224.1727     -7084.3605
ENERGY:      82       164.3332       160.3608         0.0000         0.0000          -5898.7505       818.6570         0.0000         0.0000         0.0000          -4755.3995         0.0000     -4755.3995     -4755.3995         0.0000           6210.1553     -7110.6761     23823.1240      6210.1553     -7110.6761
ENERGY:      83       154.2755       153.6448         0.0000         0.0000          -5944.3500       777.1006         0.0000         0.0000         0.0000          -4859.3292         0.0000     -4859.3292     -4859.3292         0.0000           5454.8576     -8005.6038     23823.1240      5454.8576     -8005.6038
ENERGY:      84       188.5314       151.6787         0.0000         0.0000          -5989.5222       745.4067         0.0000         0.0000         0.0000          -4903.9055         0.0000     -4903.9055     -4903.9055         0.0000           4401.5906     -8755.5762     23823.1240      4401.5906     -8755.5762
ENERGY:      85       267.8352       155.2342         0.0000         0.0000          -6034.2531       721.9917         0.0000         0.0000         0.0000          -4889.1920         0.0000     -4889.1920     -4889.1920         0.0000           3030.0174     -9378.2317     23823.1240      3030.0174     -9378.2317
ENERGY:      86       204.3080       152.0161         0.0000         0.0000          -6000.8876       738.7363         0.0000         0.0000         0.0000          -4905.8272         0.0000     -4905.8272     -4905.8272         0.0000           4085.0225     -8924.8973     23823.1240      4085.0225     -8924.8973
ENERGY:      87       173.8527       147.9013         0.0000         0.0000          -6034.3260       719.5503         0.0000         0.0000         0.0000          -4993.0218         0.0000     -4993.0218     -4993.0218         0.0000           3472.3852     -9430.5636     23823.1240      3472.3852     -9430.5636
ENERGY:      88       177.4694       147.8648         0.0000         0.0000          -6067.6323       705.9883         0.0000         0.0000         0.0000          -5036.3099         0.0000     -5036.3099     -5036.3099         0.0000           2613.2031     -9851.8599     23823.1240      2613.2031     -9851.8599
ENERGY:      89       215.9225       152.0427         0.0000         0.0000          -6100.7898       698.2231         0.0000         0.0000         0.0000          -5034.6016         0.0000     -5034.6016     -5034.6016         0.0000           1508.4905    -10186.2952     23823.1240      1508.4905    -10186.2952
ENERGY:      90       190.8590       149.2622         0.0000         0.0000          -6082.9824       701.6615         0.0000         0.0000         0.0000          -5041.1996         0.0000     -5041.1996     -5041.1996         0.0000           2132.8208    -10029.8004     23823.1240      2132.8208    -10029.8004
ENERGY:      91       163.4731       139.5953         0.0000         0.0000          -6075.1710       672.0298         0.0000         0.0000         0.0000          -5100.0728         0.0000     -5100.0728     -5100.0728         0.0000           2890.0986    -10461.1795     23823.1240      2890.0986    -10461.1795
ENERGY:      92       181.9475       132.7980         0.0000         0.0000          -6067.2132       650.3108         0.0000         0.0000         0.0000          -5102.1570         0.0000     -5102.1570     -5102.1570         0.0000           3453.7845    -10776.2994     23823.1240      3453.7845    -10776.2994
ENERGY:      93       244.5519       128.2487         0.0000         0.0000          -6059.1412       634.2562         0.0000         0.0000         0.0000          -5052.0844         0.0000     -5052.0844     -5052.0844         0.0000           3798.5900    -11006.0013     23823.1240      3798.5900    -11006.0013
ENERGY:      94       167.7965       135.6285         0.0000         0.0000          -6070.8986       659.5215         0.0000         0.0000         0.0000          -5107.9520         0.0000     -5107.9520     -5107.9520         0.0000           3219.9488    -10642.9584     23823.1240      3219.9488    -10642.9584
ENERGY:      95       166.7684       135.9917         0.0000         0.0000          -6071.3279       660.6828         0.0000         0.0000         0.0000          -5107.8850         0.0000     -5107.8850     -5107.8850         0.0000           3189.6490    -10626.1143     23823.1240      3189.6490    -10626.1143
ENERGY:      96       167.6878       135.6645         0.0000         0.0000          -6070.9414       659.6368         0.0000         0.0000         0.0000          -5107.9523         0.0000     -5107.9523     -5107.9523         0.0000           3216.9492    -10641.2830     23823.1240      3216.9492    -10641.2830
