# step Etot Epot T p 
373 -6075.3931 -6075.3931 0.0 -1646.4435 
374 -6075.3946 -6075.3946 0.0 -1640.3957 
375 -6079.2841 -6079.2841 0.0 -3304.486 
376 -6041.5846 -6041.5846 0.0 -5279.6677 
377 -6082.5226 -6082.5226 0.0 -2595.7862 
378 -6082.495 -6082.495 0.0 -2664.3764 
379 -6082.5225 -6082.5225 0.0 -2602.6162 
380 -6082.5224 -6082.5224 0.0 -2598.5123 
381 -6082.5226 -6082.5226 0.0 -2595.7862 
382 -5921.969 -5921.969 0.0 5784.0225 
383 -6086.1406 -6086.1406 0.0 -1453.7447 
384 -6086.1093 -6086.1093 0.0 -1567.2008 
385 -6086.1407 -6086.1407 0.0 -1465.0832 
386 -6086.1407 -6086.1407 0.0 -1462.9437 
387 -6059.2738 -6059.2738 0.0 -1967.3001 
388 -6090.8568 -6090.8568 0.0 -1559.7974 
389 -6090.5482 -6090.5482 0.0 -1590.3893 
390 -6090.8538 -6090.8538 0.0 -1562.7443 
391 -6090.8567 -6090.8567 0.0 -1560.0897 
392 -6090.8568 -6090.8568 0.0 -1559.7974 
393 -6065.3339 -6065.3339 0.0 -3216.9108 
394 -6092.7567 -6092.7567 0.0 -1887.4712 
395 -6092.4865 -6092.4865 0.0 -2014.518 
396 -6092.7542 -6092.7542 0.0 -1900.1123 
397 -6092.7569 -6092.7569 0.0 -1888.7372 
398 -6092.7569 -6092.7569 0.0 -1888.6109 
399 -6092.7569 -6092.7569 0.0 -1888.7372 
400 -6093.0909 -6093.0909 0.0 -931.4556 
401 -6036.7732 -6036.7732 0.0 -432.7778 
402 -6099.9079 -6099.9079 0.0 -1346.7922 
403 -6076.0845 -6076.0845 0.0 -2893.5603 
404 -6104.8824 -6104.8824 0.0 -1778.1894 
405 -6104.5978 -6104.5978 0.0 -1884.8634 
406 -6104.8798 -6104.8798 0.0 -1788.8068 
407 -6104.8823 -6104.8823 0.0 -1779.2485 
408 -6085.2878 -6085.2878 0.0 -2276.075 
409 -6105.6412 -6105.6412 0.0 -1852.8825 
410 -6101.0381 -6101.0381 0.0 -1447.8464 
411 -6109.3301 -6109.3301 0.0 -1656.0023 
412 -6109.2506 -6109.2506 0.0 -1630.4952 
413 -6109.3297 -6109.3297 0.0 -1653.4061 
414 -6109.3302 -6109.3302 0.0 -1655.5934 
415 -6092.7729 -6092.7729 0.0 -2424.5782 
